_ArtworkIDpk,_ArtistIDpk,ART_TITLE,ARTIST_ MAKER _ AUTHOR,DATE_text,DETAILS_label,_ExhIDfk,Exhibition::EXHIBITION TITLE
458,466,Andy Warhol,Robert Mapplethorpe,1983,printed 1990 Photograph on paper 476 x 471 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
459,466,Andy Warhol,Robert Mapplethorpe,1986,Photograph on paper 476 x 471 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
460,466,Andy Warhol,Robert Mapplethorpe,1986,printed 1990 Photograph on paper 476 x 471 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1693,590,Screen Test: Marcel Duchamp,Andy Warhol,1966,"16mm film transferred to digital files (DVD) Black and white, silent, 4 minutes at 16 frames per second",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1694,590,Lupe,Andy Warhol,1966,"16mm film transferred to digital files (DVD) Color, sound, 36 minutes in double screen",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1695,590,Factory Diary: Bob Colacello In Drag For A Portrait Of A Drag Queen July 31 1974,Andy Warhol,1974,"1/2"" reel-to-reel videotape transferred to digital files (DVD) Black and white, sound, 18 minutes",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1696,590,Factory Diary: Veruschka And Peter Beard,Andy Warhol,1975,"1/2Ó reel-to-reel videotape transferred to digital files (DVD) Black and white, sound, 44 minutes",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1697,590,Factory Diary: Letter To Man Ray,Andy Warhol,1976,"1/2"" reel-to-reel videotape transferred to digital files (DVD) Color, sound, 24 minutes",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1698,590,Self_portrait In Dark Suit And Plaid Shirt,Andy Warhol,1981,Photograph on paper 95 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1699,590,Self_portrait In A Dark Suit And Plaid Shirt,Andy Warhol,1981,Photograph on paper 95 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1700,590,Self_portrait With Platinum Bouffant Wig,Andy Warhol,1981,Photograph on paper 95 x 73 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1701,590,Self_portrait With Reddish Blonde Wig,Andy Warhol,1981,Photograph on paper 95 x 73 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1702,590,Self_portrait With Platinum Pageboy Wig,Andy Warhol,1981,Photograph on paper 95 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1703,590,Self_portrait In Profile With Shadow,Andy Warhol,1981,Photograph on paper 72 x 95 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1704,590,Self_portrait With Fright Wig,Andy Warhol,1986,Photograph on paper 94 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1705,590,Self_portrait With Fright Wig,Andy Warhol,1986,Photograph on paper 95 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1706,590,Self_portrait With Fright Wig,Andy Warhol,1986,Photograph on paper 95 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1707,590,Self_portrait With Fright Wig,Andy Warhol,1986,Photograph on paper 95 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1708,590,Dissection Class,Andy Warhol,1986,Stitched photographs on paper 695 x 805 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1709,590,I Am Blind,Andy Warhol,1986,Stitched photographs on paper 1067 x 838 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1710,590,Grace Being Painted By Keith,Andy Warhol,1986,Stitched photographs on paper 695 x 805 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1711,590,Cough,Andy Warhol,1986,Stitched photographs on paper 805 x 695 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1712,590,Venus In Shell,Andy Warhol,1986,Stitched photographs on paper 700 x 542 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1713,590,Sunday Brunch,Andy Warhol,1986,Stitched photographs on paper 539 x 694 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1714,590,No Parking,Andy Warhol,1986,Stitched photographs on paper 694 x 539 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1715,590,Trash Cans,Andy Warhol,1986,Stitched photographs on paper 698 x 543 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1716,590,Statue Of Liberty,Andy Warhol,1986,Stitched photographs on paper 695 x 805 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1717,590,Grace Jones,Andy Warhol,1986,Stitched photographs on paper 1067 x 838 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1718,590,Cadaver,Andy Warhol,1986,Stitched photographs on paper 803 x 694 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1719,590,Factory Diary: Lana Jokel Cooks A Chinese Dinner,Andy Warhol,1972-1973c,"1/2Ó videotape transferred to digital files (DVD) Black and white, sound, 30 min.",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1720,590,Self_portrait,Andy Warhol,1976-1986,Photographs on paper 698 x 804 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1721,590,Self_portrait In Dark Suit,Andy Warhol,1977-1978,Photograph on paper 94 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1722,590,Self_portrait In Interview T_shirt,Andy Warhol,1977-1978,Photograph on paper 95 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1723,590,Self_portrait In Blue Shirt,Andy Warhol,1977-1978,Photograph on paper 93 x 73 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1724,590,Self_portrait With Hand To Cheek,Andy Warhol,1977-1978,Photograph on paper 96 x 72 mm,2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1725,590,Screen Test: Ann Buchanan,Andy Warhol,1964,"16mm film transferred to digital files (DVD) Black and white, silent, 4 minutes at 16 frames per second",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1726,590,Screen Test: Dennis Hopper,Andy Warhol,1964,"16mm film transferred to digital files (DVD), Black and white, silent, 4 minutes at 16 frames per second",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1727,590,Screen Test: Billy Linich,Andy Warhol,1964,"16mm film transferred to digital files (DVD) Black and white, silent, 4 minutes at 16 frames per second",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1728,590,Screen Test: Susan Sontag,Andy Warhol,1964,"16mm film transferred to digital files (DVD) Black and white, silent, 4 minutes at 16 frames per second",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
1729,590,Screen Test: Edie Sedgwick,Andy Warhol,1966,"16mm film transferred to digital files (DVD) Black and white, silent, 4 minutes at 16 frames per second",2011_3_ANDY_WARHOL,Andy Warhol: ARTIST ROOMS On Tour with the Art Fund
461,83,Rasterbild (Semi-Circles),Charlotte Posenenske,1957,Casein paint and pencil on paper 41x30cm,2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
462,83,Rasterbild (Semi-Circles),Charlotte Posenenske,1957,Casein paint and pencil on paper 58x47.6cm,2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
463,83,Spachterlarbeit,Charlotte Posenenske,1964,Acrylic on paper 62x45cm,2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
464,83,Drawing,Charlotte Posenenske,1964,Coloured pencil on paper 40x30cm,2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
465,83,Streifenbild,Charlotte Posenenske,1965,Adhesive strips on paper 29.5x21cm,2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
466,83,Streifenbild,Charlotte Posenenske,1965,Felt-tip marker on paper 29.5x21cm.,2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
467,83,Diagonal Fold,Charlotte Posenenske,1966,"Sheet aluminium, sprayed grey 51.5x75x25cm.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
468,83,Blue Plastic Sheets,Charlotte Posenenske,1967,Spray paint on paper 29.7x21cm,2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
469,83,Series B Red Reliefs,Charlotte Posenenske,1967,"Aluminium, seven convexly canted (long side and short side), sprayed standard RAL matt red 100x50x14cm each.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
470,83,Series B Reliefs,Charlotte Posenenske,1967,"Aluminium, one convexly curved sprayed standard RAL matt blue, one concavelycurved sprayed standard RAL matt black 100x50x14 each.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
471,83,Series C Reliefs,Charlotte Posenenske,1967,"Aluminium, four convexly canted, sprayed standard RAL matt yellow 40x40x125 each.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
472,83,Series B Reliefs,Charlotte Posenenske,1967,"Aluminium, three convexly curved sprayed standard RAL matt red, one blue concavely curved sprayed standard RAL matt blue 100x50x14 each.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
473,83,Series E Large Revolving Vane,Charlotte Posenenske,1967-1968,"Sheet aluminium, sprayed matt grey 190x200x200.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
474,83,"Series D Square Tubes
",Charlotte Posenenske,1967-2010,"Reconstruction, sheet steel, fifteen various elements.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
475,83,Series E Small Revolving Vanes,Charlotte Posenenske,1967-1970,"Sheet aluminium, sprayed matt grey, two elements 100x100x100 each.",2011_1_CHARLOTTE_POSENENSKE,Charlotte Posenenske
476,29,No Title,Anonymous,1989,"Posters, collection of the artist. Leninskii SubbotnikÑSlavnii Rabotnik (voluntary work) 1919-1989",2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
477,485,Capital,Ruth Maclennan,2007,Video 16 minutes,2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
478,485,Anarcadia,Ruth Maclennan,2010,"Video, 37 minutes.  Actor George Drennan, Actor Saule Suleimenova, Director of Photography Bevis Bowden, Music composed by Kuat Shildebayev, Location Sound Brada Barassi, Sound consultant Mikhail Karikis, Producer Kazakhstan Yuliya Sorokina, Production manager London Karen Murray, Archaeology consultant Kazakhstan Ruslan Altimbekov, Produced by Film and Video Umbrella. Special Thanks: Steven Bode, Stephen Foster, Robin Banerji, Helen Maclennan, Yuliya Sorokina, Alexander Ugay, Hector and Sasha Banerji.",2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
479,485,In The Yard At The Museum,Ruth Maclennan,2010,Anarcadia Inventory: The Railway Station. Photograph Lambda print on aluminium,2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
480,485,I Was Here Before,Ruth Maclennan,2010,Edition of six postcards,2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
481,485,DoesnÕt Belong To Anybody,Ruth Maclennan,2010,"Photograph,  Lambda print on aluminium",2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
1909,0,ÒBringing Oil Across The Desert To All The Soviet LandsÓ,Ruth Maclennan & Anonymous,1930,"Anarcadia Inventory: The Railway Station. Film fragment, 7 minute loop,  from the State Documentary Film and Audio Archive of Kazakhstan",2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
1910,0,19/Xii/1970,Ruth Maclennan & Anonymous,1970,"Anarcadia Inventory: The Railway Station. Embroidered yurt hanging, Uzbekistan, 1970. Collection of the artist.",2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
1911,0,The Railway Workers,Ruth Maclennan & Anonymous,1939-1961,Anarcadia Inventory: The Railway Station. Anonymous photographs from the State Documentary Film and Audio Archive of Kazakhstan,2010_11_ANARCADIA,Ruth Maclennan: Anarcadia
482,70,Wired Madeleine (1dj2many),Caroline Bergvall,2010,Text-sound composition with title index generated from lines of seminal pop  funk and indie songs. Love memories in globalised anglo consumption. Sound composition Adam Parkinson,2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
483,70,Wall Piece,Caroline Bergvall,2010,Òbodies like languagesÓ,2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
484,70,Wall Of Pins,Caroline Bergvall,2010,Broadsides written and developed after historic street ballads and broadside literature. Four original texts written in a combinatory trans-English: Fried Tale/ Osis / Dame Just / Blot. Design Alex Prokop. Image of Fried Tale reproduced by permission of the British Library from a late 19th century woodcut based on an original woodcut of 1635. Texts only exist if they circulate. Please help yourself.,2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
485,70,Voiced Whirr 1. Fried Tale (3Õ45Ó),Caroline Bergvall,2010,Three headset pieces on a continuous loop 1 & 2: original texts read and prepared for audio listening. 3: Autobiographical text read and prepared for audio listening ÒI kept viddying visions  like these cartoons in the gazettasÓ. Anthony Burgess  Clockwork Orange; 1. fried tale (3Õ45Ó) Òall juicitÓ Voice Nicholas Rowe;,2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
486,70,Voiced Whirr 2. Dame Just (3Õ50Ó),Caroline Bergvall,2010,"Three headset pieces on a continuous loop 1 & 2: original texts read and prepared for audio listening. 3: Autobiographical text read and prepared for audio listening ÒI kept viddying visions, like these cartoons in the gazettasÓ. Anthony Burgess, Clockwork Orange; 2. dame just (3Õ50Ó) Òlast order!Ó Voice Nicholas Rowe.",2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
487,70,Voiced Whirr 3. Personal Cropper (3Õ35Ó),Caroline Bergvall,2010,"Three headset pieces on a continuous loop 1 & 2: original texts read and prepared for audio listening. 3: Autobiographical text read and prepared for audio listening ÒI kept viddying visions, like these cartoons in the gazettasÓ. Anthony Burgess, Clockwork Orange; 3. personal cropper (3Õ35Ó) Òfor a while I had mistaken my hyphen, the dash of my cultures for a full stopÓ. Voice Caroline Bergvall, Sound composition Zahra Mani. All voice recordings Graham Williams.",2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
488,70,Way Station (Crop),Caroline Bergvall,2010,"Bilingual audiotext: English/French/Norwegian. With the voices of Caroline Bergvall,  Vincent Broqua and Molly McPhee. Sound treatment Adam Parkinson. Voice recording Graham Williams. Quote by Edouard Glissant from Poetics of Relation (1997)",2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
1914,0,Length Of Weighted Wire,"Caroline Bergvall, DvsN",2010,A site specific spatial mobile structure flowing along the dynamic lines of the gallery space itself. A balancing act of the human body caught between the inner structure of language and the outer structure of architecture. Designed & realised by DvsN in conversation with Caroline Bergvall,2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
1915,0,Lines Of Flight,Caroline Bergvall and Alex Prokop,2010,Generative data piece to be launched 23 September 2010. Designed by Alex Prokop in conversation with Caroline Bergvall. URL to be announced at www.hansardgallery.org.uk,2010_9_MIDDLING_ENGLISH,Caroline Bergvall: Middling English
489,516,"From The Top Of Harvey House, Brentford",Stephen Willats,1986,"Photographic prints, photographic dye, ink, letroset text on paper. Willats has made projects across Europe since the mid-1960s, often producing his work collaboratively with informal groups in public spaces. These two works, respectively, map the interior and exterior spaces of two high rise housing blocks. Sounds, experiences, objects and signs of personal significance were recorded and brought together in visual, textual and aural form.",2010_6_GROUND_LEVEL,Ground Level
490,88,Green Border,Christian-Philipp MŸller,1993,"DVD, 8 x digital photos of nineteenth-century drawings with text on perspex. In 1993 the artist followed AustriaÕs green borders, exploring their function as barriers to the former Eastern-block countries of the Czech Republic, Slovakia, Hungary and Slovenia, as well as to the western states of Italy, Switzerland, Liechtenstein and Germany. He sought out wooded border regions and here crossed national boundaries. At each border crossing, MŸller sent postcards to friends and art dealers inscribed with a sentence inspired by artist On Kawara: ÒI crossed the border between X and Y and I AM STILL ALIVE.Ó",2010_6_GROUND_LEVEL,Ground Level
491,516,Wall Walk,Stephen Willats,1993,"Photographic prints, photographic dye, ink, letroset text on card and audio recording.",2010_6_GROUND_LEVEL,Ground Level
492,342,Seeds Of Change (Bristol),Maria Thereza Alves,2005,Documentation and Photography. Dimensions vary.,2010_6_GROUND_LEVEL,Ground Level
493,342,Seeds Of Change (Exeter),Maria Thereza Alves,2005,"Documentation and Photography. Dimensions vary. Seeds of Change comprises a series of projects exploring the whereabouts of Ôballast floraÕ in major European port cities. Over thousands of years tonnes of ÔfillerÕ material and its attendant seeds and organic matter from the new world was dumped ashore on arrival. Alves sought the location of ballast spoil sites through old maps, port records and rumour, often collaborating with local residents. ÔBallast floraÕ is a marginalised area of botanical study due to its direct links with the slave trade.",2010_6_GROUND_LEVEL,Ground Level
494,580,Taking Soundings,Yolande Harris,2008,"Three colour prints and soundtrack played through headphones. These images exist between a musical score and a map, line and sound, an event and a recording. Produced from satellite data collected by GPS of travels at sea and along coastlines, the work is Òtaking soundingsÓ of position and movement. These images are the result of re-drawing those traces during a performance  as each part of the line is digitally drawn the data is transformed simultaneously into electronic sounds, audible here through headphones.",2010_6_GROUND_LEVEL,Ground Level
495,580,Navigating By Circles,Yolande Harris,2008,"Single channel video projection played in a continuous loop, stereo sound. In contrast to ÔTaking SoundingsÕ, this work examines the changing technology of navigation. The visuals are filmed through the lens of a sextant, an instrument used to measure the angle between any two visible objects and a traditional nautical navigational aid. The sound is generated by electronic sonifications of the same process by GPS. The work embodies a conversation between two scales of significance: our relationship to Ð and ability to interpret - the world around us, and the closed, internal ÔloopÕ of data analysis.",2010_6_GROUND_LEVEL,Ground Level
496,503,Island Time,Simon Evans,2009,"Risograph pamphlet. Simon EvanÕs delicate text-based works are collaged and assembled from prosaic materials including found paper, scotch tape, pencil shavings, colored pencil and Tippex. Poised between earnestness and irony, these drawings take the form of diagrams, charts, maps, lexicons, diary entries, inventories, cosmologies and entreaties.",2010_6_GROUND_LEVEL,Ground Level
497,155,The Lesser Evil,Eyal Weizman,2009,"Powerpoint slideshow. This case study of city planning is part of an ongoing series examining the politics of Ôthe lesser evilÕ - where compromise is inevitable. An architect based between London and Palestine, Weizman here examines the building of a wall on the Israeli-Palestinian border, and the evolving account of its court proceedings.",2010_6_GROUND_LEVEL,Ground Level
498,451,Global Local,Ricardo Basbaum,2010,"Vinyl text on painted wall. Dimensions vary. BasbaumÕs practice is based on social mapping. These new wall drawings propose an understanding of ÔlocalÕ and ÔglobalÕ distinguished by ÔflowsÕ rather than divisions. ÔLocalÕ pertains to the individual and place, while ÔglobalÕ describes place within its macro, sociological context. The artist identifes the two ideas as, ultimately, similar.",2010_6_GROUND_LEVEL,Ground Level
499,74,The Hydraulic Models Of The Army Corps Of Engineers,Center For Land Use Interpretation,2010,"Digital colour prints displayed on wooden notice boards. CLUI is a research and education organisation ÒDedicated to the increase and diffusion of information about how the nationÕs lands are apportioned, utilized, and perceived.Ó These display boards feature photographs of vast Ð now abandoned and decaying Ð hydraulic models, built in the 1970s to simulate the fluid dynamics of complex waterways in the US. The images document a monumental endeavour to map the landscape and our presence within it, yet in an era of digital cartography the models are now long obsolete. The wooden boards allude to CLUIÕs frequent use of non-gallery locations and transportable displays.",2010_6_GROUND_LEVEL,Ground Level
500,535,"Sweet Talk File (Plates 408, 392, 544)",The Atlas Group,1991-2005,"Digital colour prints. The Atlas Group is a project established to research and document the contemporary history of Lebanon. Works by the Group are often semifictitious, ÔdocumentsÕ arising from real events that may, in fact, be re-imagined or re-staged. The Sweet Talk File series purports to result from photographs of Ôplaces of significanceÕ following the end of civil war in Lebanon, undertaken by Lamia HilwŽ for the Group. Each plate includes a small black and white rectangular photograph of a building, submitted in 1992, and a large color photograph of the same building, submitted as a contemporary document in 2004.",2010_6_GROUND_LEVEL,Ground Level
1913,0,Borderxing,Heath Bunting and Kayle Brandon,2004,"Website. This web-based slide show documents various walks undertaken by the artists that traverse various EU borders. Free movement is notionally permitted within the EU but differing levels of bureaucracy and control exist as such, the artists have researched alternative routes across and around a number of these borders without interruption from customs, immigration, or border police.",2010_6_GROUND_LEVEL,Ground Level
501,286,Altneuland I,Justin Hibbs,2006,Oil on panel,2010_4_DAWNBREAKERS,Dawnbreakers
502,286,Constellation,Justin Hibbs,2006,Oil and acrylic on board. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
503,498,The All-Forgiving,Shezad Dawood,2007,,2010_4_DAWNBREAKERS,Dawnbreakers
504,498,The Majestic (Prototype),Shezad Dawood,2007,"Neon, tumbleweed with enamelled aluminium plinth. Courtesy the artist and Paradise Row, London",2010_4_DAWNBREAKERS,Dawnbreakers
505,459,Aubrey,Richard Wathen,2007,Oil on linen on aluminium. Courtesy the artist and Max Wigram Gallery,2010_4_DAWNBREAKERS,Dawnbreakers
506,236,Relationships Vi,James White,2008,Oil and varnish on birchply in perspex boxframe. Courtesy Max Wigram Gallery,2010_4_DAWNBREAKERS,Dawnbreakers
507,484,Lands End (Sharkhead),Ruth Claxton,2008,"Steel, glass, found objects. Courtesy the artist",2010_4_DAWNBREAKERS,Dawnbreakers
508,55,At The Diner,Boo Ritson,2009,"Triptych consisting of 3 archival digital prints on Somerset paper in a single frame. Courtesy the artist and Alan Cristea Gallery, London. Photography: Andy Crawford",2010_4_DAWNBREAKERS,Dawnbreakers
509,218,A Solar Rarity,Ian Monroe,2009,Vinyl on aluminium. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
510,233,Turned Ball,James Hopkins,2009,"Mirror ball, motor and chain. Courtest the artist and Max Wigram Gallery",2010_4_DAWNBREAKERS,Dawnbreakers
511,273,Nest Of Putrefaction,John Stark,2009,Oil on panel,2010_4_DAWNBREAKERS,Dawnbreakers
512,273,Gateway,John Stark,2009,Oil on panel. Courtesy the artist and charlie smith london,2010_4_DAWNBREAKERS,Dawnbreakers
513,55,Apple And Cup,Boo Ritson,2009,Archival digital print on Somerset paper. Image courtesy the artist and Poppy Sebire Gallery. Photography: Andy Crawford,2010_4_DAWNBREAKERS,Dawnbreakers
514,26,I Can Do The Job Faster Than Someone Who Can Do It Better Or I Can Do It Better Than Someone Who Can Do It Faster,Angus Sanders-Dunnachie,2009,Graphite and gouache on plasterboard. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
515,406,The Crossing,Nick Dawes,2009,Paint on canvas. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
516,519,Dawnbreaker,Stewart Gough,2010,"Plastic plates/bowls, place mats, drain/dust-extraction pipe, guttering, conduit, pneumatic wheels. Courtesy the artist",2010_4_DAWNBREAKERS,Dawnbreakers
517,585,Untitled,Zebedee Jones,2010,Oil on linen over board,2010_4_DAWNBREAKERS,Dawnbreakers
518,585,Untitled,Zebedee Jones,2010,Oil on linen over board,2010_4_DAWNBREAKERS,Dawnbreakers
519,585,Untitled,Zebedee Jones,2010,Oil on linen over board. Courtesy Mummery + Schnelle,2010_4_DAWNBREAKERS,Dawnbreakers
520,233,Happy Hour,James Hopkins,2010,"Table, bottles, glasses, lights, guitar and acrylic mirror",2010_4_DAWNBREAKERS,Dawnbreakers
521,316,Bunker Triptych,Leon Woolls,2010,Three digital C-Prints.Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
522,491,Men Of Mark,Samuel Herbert,2010,Oil on canvas. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
523,285,Loop,Julian Hughes Watts,2010,Digital animations. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
524,129,LifeÕs One Damn Thing After Another,Diann Bauer,2010,ink and acrylic on paper. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
525,545,Icave,Tom Dale,2010,"Paint, plastic, steel, electrical fittings. Courtesy the artist",2010_4_DAWNBREAKERS,Dawnbreakers
526,286,Black Palm Hacienda,Justin Hibbs,2010,Oil on mdf,2010_4_DAWNBREAKERS,Dawnbreakers
527,402,Still Here,Neil Zakiewicz,2010,Steel. Courtesy the artist,2010_4_DAWNBREAKERS,Dawnbreakers
528,266,Medium Industry Bank,John Chilver,2008-2009,"Double-U section aluminium, inkjet prints, paper stretched on frame. Edition of 3. Courtesy the artist",2010_4_DAWNBREAKERS,Dawnbreakers
529,266,On Earth/Londra/Cornell,John Chilver,2008-2009,"Double-U section aluminium, inkjet prints, paper stretched on frame. Edition of 3. Courtesy the artist",2010_4_DAWNBREAKERS,Dawnbreakers
1912,0,Splinter,Pamela Richardson & Kevin Smith,2010,"Flash animation, 8 mins. Courtesy the artists",2010_4_DAWNBREAKERS,Dawnbreakers
542,0,A Field Users Guide To Dark Places - South Edition,Office of Experiments,2009,"An Overt Research Project by the Office of Experiments. Looped single screen projection, kiosk and electronic field guide. Visitors are invited to explore the Dark Places - South Edition field guide via the computer within the kiosk.",2009_11_DARK_PLACES,Dark Places
543,411,The Mike Kenner Archive - Tales From The Arc,Office of Experiments (Autonomous Researcher Collection),2009,"Installation with films and documents extracted from the Mike Kenner Archive, Porton Down section.",2009_11_DARK_PLACES,Dark Places
544,518,"Ultimate High Ground, Uk",Steve Rowell,2009,Looped four screen projection with audio,2009_11_DARK_PLACES,Dark Places
545,518,"Ultimate High Ground, Uk",Steve Rowell,2009,"Radome model, photographs, various sizes",2009_11_DARK_PLACES,Dark Places
546,42,A Memorial For The Still Living,Beatriz da Costa,2009,Installation,2009_11_DARK_PLACES,Dark Places
1902,656,Voodoo Science Park,Halford and Beard,2009,Film,2009_11_DARK_PLACES,Dark Places
547,586,Saphir,Zineb Sedira,2006,"Video installation with two projections (16:9), 18 minutes. Ò[...] it seemed to me important to show an Algeria thatÕs little known in the West, free of the ÒpoliticsÓ and exoticism so often attached to it.Ó Zineb Sedira in conversation with Christine Van Assche in Saphir, 2006, published by The PhotographersÕ Gallery, London, Kamel Mennour and Paris Musees, France. Saphir forms an earlier companion piece to MiddleSea and again features a maritime setting Ð in this instance, the port of Algiers. Comprising an evocative juxtaposition of two film sequences, the work contains a Ôgerm of a narrativeÕ Ð two characters, a man and woman, wandering, waiting and looking. Saphir focuses upon the crumbling art deco grandeur of the 1930s Hotel Es Safir and views of the Tariq Ibn Ziyad ferry, which travels to and from Marseille. The work alludes to the desire for escape, belonging and to return, though is never explicitly political. Saphir instead represents an emotional Ð and strikingly visual Ð response to the city and its unique light, architecture and interior spaces.",2009_9_SEAFARING,Zineb Sedira: Seafaring
